epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6244,1.20228,0.71789,0.95529,0.78944,0.61639,0.69138,0.38072,1.49496,0.93167,1.04919,0.00332258,0.00332258,0.00332258
2,69.0085,1.27969,0.80707,0.97395,0.78989,0.5307,0.63366,0.33435,1.5776,1.17259,1.07704,0.00662297,0.00662297,0.00662297
3,101.861,1.38178,0.91443,1.01199,0.63915,0.45554,0.4935,0.24831,1.75666,1.55436,1.15361,0.00989035,0.00989035,0.00989035
4,134.634,1.48022,1.04214,1.04566,0.66399,0.45877,0.50113,0.24606,1.77119,1.42709,1.12474,0.0098515,0.0098515,0.0098515
5,167.969,1.50497,1.0567,1.05849,0.70033,0.50277,0.56338,0.28133,1.66498,1.23104,1.10396,0.009802,0.009802,0.009802
6,201.556,1.50223,1.07276,1.05994,0.66041,0.48279,0.54115,0.27794,1.63974,1.33159,1.10757,0.0097525,0.0097525,0.0097525
7,235.13,1.50144,1.05791,1.05109,0.73455,0.52954,0.60007,0.31018,1.60173,1.12718,1.07491,0.009703,0.009703,0.009703
8,268.589,1.48154,1.0391,1.05909,0.66493,0.51267,0.56354,0.28634,1.67486,1.20821,1.10724,0.0096535,0.0096535,0.0096535
9,301.547,1.4884,1.02122,1.05061,0.7176,0.51486,0.57804,0.29272,1.64587,1.2,1.09543,0.009604,0.009604,0.009604
10,332.659,1.47704,1.0235,1.04882,0.69203,0.53524,0.59552,0.30599,1.6282,1.1433,1.0881,0.0095545,0.0095545,0.0095545
11,364.266,1.45018,0.98919,1.03115,0.68948,0.54257,0.59572,0.30632,1.606,1.14503,1.07566,0.009505,0.009505,0.009505
12,395.288,1.4517,1.00134,1.03767,0.68614,0.55024,0.60456,0.31711,1.56434,1.12887,1.06697,0.0094555,0.0094555,0.0094555
13,426.492,1.44017,0.98559,1.03794,0.75736,0.56813,0.64612,0.34503,1.52438,1.02988,1.04826,0.009406,0.009406,0.009406
14,457.823,1.42588,0.96966,1.03162,0.74882,0.58135,0.65144,0.34404,1.5661,1.04713,1.05083,0.0093565,0.0093565,0.0093565
15,489.012,1.43868,0.9823,1.04329,0.79821,0.57026,0.65257,0.34729,1.56717,1.01424,1.04956,0.009307,0.009307,0.009307
16,519.867,1.44464,0.96302,1.03568,0.75589,0.55809,0.63524,0.33648,1.59049,1.09879,1.0718,0.0092575,0.0092575,0.0092575
17,551.622,1.43328,0.97674,1.03444,0.7568,0.57165,0.64696,0.34652,1.54099,1.03672,1.04166,0.009208,0.009208,0.009208
