epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0093,0.93397,0.51577,0.88482,0.84726,0.6684,0.753,0.43779,1.3268,0.74523,1.01025,0.000405702,0.000405702,0.000405702
2,47.2975,0.98555,0.55098,0.89441,0.83445,0.65457,0.74046,0.42766,1.33894,0.76494,1.01558,0.000820378,0.000820378,0.000820378
3,67.1296,1.03803,0.59453,0.90979,0.80385,0.64718,0.72059,0.41113,1.39806,0.84301,1.03391,0.00123364,0.00123364,0.00123364
4,86.7531,1.06678,0.62619,0.91724,0.80724,0.64852,0.72447,0.41036,1.36716,0.86804,1.0273,0.00124228,0.00124228,0.00124228
5,106.284,1.07938,0.6325,0.92799,0.79931,0.63468,0.71292,0.40582,1.40273,0.89914,1.0365,0.00124004,0.00124004,0.00124004
6,126.845,1.10128,0.64939,0.93298,0.81147,0.61841,0.68978,0.38854,1.40044,0.88541,1.04756,0.00123775,0.00123775,0.00123775
7,146.637,1.09039,0.64144,0.92758,0.80124,0.63848,0.70336,0.39558,1.40195,0.87878,1.03706,0.00123544,0.00123544,0.00123544
8,166.496,1.11005,0.65104,0.93189,0.78827,0.61705,0.68942,0.37953,1.45417,0.89287,1.04995,0.00123318,0.00123318,0.00123318
9,187.405,1.08921,0.64022,0.92724,0.84549,0.63065,0.72618,0.4013,1.41678,0.84454,1.04141,0.00123092,0.00123092,0.00123092
10,209.339,1.08654,0.63632,0.92793,0.81993,0.63001,0.71004,0.40308,1.39984,0.86002,1.04612,0.00122854,0.00122854,0.00122854
11,231.515,1.08414,0.64333,0.93013,0.8052,0.65442,0.72125,0.39957,1.44132,0.86932,1.0557,0.00122602,0.00122602,0.00122602
12,252.102,1.07524,0.63293,0.92489,0.83182,0.62909,0.72459,0.41609,1.37067,0.83182,1.03235,0.00122341,0.00122341,0.00122341
13,273.498,1.0786,0.62825,0.92484,0.82271,0.64187,0.72753,0.41365,1.35998,0.81185,1.02316,0.00122111,0.00122111,0.00122111
14,296.22,1.08387,0.63238,0.92838,0.82572,0.62538,0.71021,0.39928,1.37751,0.87286,1.01745,0.00121864,0.00121864,0.00121864
15,318.385,1.08418,0.63909,0.92792,0.79294,0.63009,0.70781,0.39738,1.41334,0.91038,1.04459,0.00121596,0.00121596,0.00121596
16,339.49,1.08276,0.6282,0.92778,0.82547,0.62644,0.71865,0.39812,1.4033,0.83553,1.03863,0.00121353,0.00121353,0.00121353
17,361.893,1.09364,0.63804,0.92765,0.82149,0.63967,0.7266,0.40822,1.37834,0.80826,1.0287,0.0012111,0.0012111,0.0012111
18,385.318,1.0887,0.62853,0.92166,0.82489,0.63439,0.72196,0.40787,1.37262,0.84382,1.03128,0.00120842,0.00120842,0.00120842
19,406.535,1.08521,0.63729,0.92302,0.83389,0.65022,0.7346,0.42534,1.35559,0.80813,1.02487,0.00120589,0.00120589,0.00120589
20,427.764,1.07545,0.62088,0.92386,0.83722,0.64055,0.72375,0.40903,1.35835,0.81784,1.02017,0.00120344,0.00120344,0.00120344
21,449.814,1.07723,0.62631,0.92263,0.8132,0.6522,0.72907,0.4144,1.36502,0.83146,1.02669,0.00120089,0.00120089,0.00120089
22,471.275,1.07837,0.62674,0.92247,0.81358,0.63439,0.715,0.40381,1.41048,0.8262,1.04488,0.00119844,0.00119844,0.00119844
23,493.373,1.09184,0.63081,0.92632,0.8371,0.6205,0.71882,0.40837,1.39572,0.82869,1.03349,0.00119598,0.00119598,0.00119598
24,514.876,1.08556,0.63148,0.92497,0.81626,0.63108,0.71451,0.40667,1.38598,0.81402,1.03286,0.00119341,0.00119341,0.00119341
25,537.091,1.05749,0.61713,0.91961,0.80294,0.64379,0.72473,0.40709,1.38995,0.84938,1.03979,0.00119107,0.00119107,0.00119107
26,558.28,1.0645,0.61338,0.91882,0.81855,0.63818,0.71947,0.40057,1.37758,0.8189,1.03379,0.00118849,0.00118849,0.00118849
27,581.824,1.06829,0.6192,0.91941,0.8155,0.63542,0.71384,0.40452,1.36601,0.82677,1.02288,0.00118603,0.00118603,0.00118603
28,604.425,1.06991,0.62532,0.92365,0.81994,0.61966,0.71173,0.39921,1.36796,0.84182,1.03067,0.00118331,0.00118331,0.00118331
29,627.361,1.06975,0.62412,0.92098,0.80241,0.6522,0.72272,0.4116,1.35848,0.79514,1.0296,0.00118084,0.00118084,0.00118084
30,649.915,1.06573,0.60813,0.92115,0.80924,0.64476,0.72369,0.41101,1.36912,0.83271,1.02642,0.00117808,0.00117808,0.00117808
31,671.225,1.0628,0.60781,0.91609,0.81295,0.65467,0.72718,0.41209,1.36463,0.8121,1.02919,0.0011756,0.0011756,0.0011756
32,692.779,1.05915,0.60738,0.9193,0.83011,0.64735,0.73394,0.42274,1.36781,0.82044,1.03421,0.00117312,0.00117312,0.00117312
33,714.948,1.06506,0.61724,0.92125,0.80717,0.66059,0.73458,0.41885,1.38137,0.78328,1.0353,0.00117064,0.00117064,0.00117064
34,737.152,1.05417,0.60321,0.91878,0.81837,0.64658,0.72954,0.41038,1.39023,0.84706,1.03456,0.00116816,0.00116816,0.00116816
35,757.423,1.0436,0.60591,0.91696,0.8398,0.64695,0.73679,0.41603,1.39336,0.80133,1.03035,0.00116551,0.00116551,0.00116551
36,778.273,1.06056,0.60524,0.91551,0.82193,0.64156,0.72432,0.41247,1.37199,0.79282,1.03808,0.0011632,0.0011632,0.0011632
37,799.607,1.05007,0.60825,0.91877,0.83017,0.65094,0.73011,0.41343,1.38776,0.81875,1.03828,0.0011609,0.0011609,0.0011609
38,820.906,1.05489,0.61237,0.91767,0.83009,0.66392,0.73627,0.4223,1.35483,0.80629,1.01328,0.00115843,0.00115843,0.00115843
39,842.298,1.05698,0.60687,0.918,0.8388,0.64252,0.7354,0.42148,1.34397,0.80706,1.01808,0.00115595,0.00115595,0.00115595
40,862.463,1.03962,0.59995,0.91451,0.83012,0.65131,0.73282,0.41735,1.3696,0.79624,1.02578,0.00115348,0.00115348,0.00115348
41,882.659,1.0442,0.59818,0.91622,0.81573,0.64373,0.72219,0.41037,1.38899,0.84435,1.03393,0.0011512,0.0011512,0.0011512
42,903.219,1.04949,0.60005,0.91145,0.82287,0.63771,0.7146,0.40596,1.37074,0.80549,1.02369,0.00114893,0.00114893,0.00114893
43,924.061,1.04757,0.60401,0.91299,0.83059,0.6534,0.72464,0.40935,1.40448,0.82409,1.04047,0.00114667,0.00114667,0.00114667
44,944.585,1.0361,0.59614,0.91103,0.79776,0.64853,0.71903,0.41023,1.37982,0.83359,1.03302,0.00114421,0.00114421,0.00114421
45,964.777,1.04504,0.60029,0.91398,0.82353,0.64989,0.72568,0.40984,1.38997,0.86531,1.03186,0.00114175,0.00114175,0.00114175
46,986.015,1.03443,0.5975,0.90956,0.82923,0.65602,0.73903,0.41962,1.3846,0.84724,1.03342,0.00113951,0.00113951,0.00113951
47,1007.05,1.03837,0.59441,0.911,0.81339,0.65744,0.73026,0.42031,1.36357,0.8155,1.02173,0.00113705,0.00113705,0.00113705
48,1028.54,1.0345,0.59328,0.91011,0.82232,0.65473,0.72827,0.40853,1.39773,0.82896,1.03013,0.0011346,0.0011346,0.0011346
49,1049.41,1.02536,0.584,0.90907,0.81065,0.66012,0.73275,0.41798,1.38104,0.82538,1.02618,0.00113214,0.00113214,0.00113214
50,1070.59,1.03847,0.59673,0.90815,0.84897,0.64088,0.73804,0.42746,1.35187,0.78089,1.01624,0.00112993,0.00112993,0.00112993
51,1092.6,1.03299,0.59264,0.91402,0.81854,0.65527,0.73137,0.41964,1.36669,0.81803,1.02899,0.00112723,0.00112723,0.00112723
52,1113.22,1.02959,0.58819,0.90829,0.82074,0.64016,0.72043,0.41376,1.37544,0.82477,1.02483,0.00112478,0.00112478,0.00112478
53,1133.83,1.02952,0.58637,0.90766,0.83153,0.64558,0.72149,0.40851,1.40493,0.8119,1.04457,0.00112257,0.00112257,0.00112257
54,1155.07,1.02113,0.58166,0.90827,0.85449,0.65014,0.7438,0.43297,1.34551,0.77506,1.01541,0.00112012,0.00112012,0.00112012
